"obrate","birth_fertility","population","ppgdp","pop_growth","ppimports","USborderpath","USimportpath","import_diff","export_diff","borders","border_diff","border_avg"
0.133658537,37.8863,741908,7600,-0.33,1962.507481,8492,15.1,0.1299817118,0.1384828982,3,0.075113821,0.193666666666667
0.111010101,71.1326,9801664,1300,0.89,341.9827491,7000,13.9,0.149264737,0.227989899,2,0.2111416405,0.3221517415
0.115,74.2266,8296693,4400,1.84,1246.279692,3913,10.9,0.126748974166667,0.090076109,3,0.125547723666667,0.240547723666667
0.177,13.3809,9958453,19800,-0.18,9429.175395,8862,10.3,0.061743686875,0.0545,6,0.0512473118333333,0.1410860215
0.124,25.0047,313183,38500,0.67,14371.78902,8294,10.8,0.058256313125,0.010016835,0,0.117546485719085,0.225969902212532
0.02,53.148,1205073612,3700,1.31,382.8811746,11567,4.9,0.2086,0.125666666666667,6,0.0417888196666667,0.0484554863333333
0.024,39.6048,248645008,4700,1.04,668.0206505,14547,6.1,0.0818571428571429,0.0747142857142857,4,0.068850716,0.092850716
0.142,34.6324,78868711,13200,1.25,964.8946843,9654,10.5,0.09,0.0865,7,0.0517849761428571,0.118443925857143
0.134455446,100.9202,31129225,3900,2.35,1732.455594,9703,7.4,0.1109089108,0.1066285465,6,0.097544554,0.232
0.13,31.7781,4722028,40100,1.11,14400.59229,8294,9.8,0.07798737375,0.0638,1,0.097,0.227
0.229,50.6499,7590758,31400,1.54,9475.996995,10122,10.4,0.134833333333333,0.16,4,0.05575,0.22075
0.098,12.684,61261254,30900,0.38,9082.412841,8561,8.5,0.051210101,0.0834,4,0.03775,0.12775
0.284081633,40.0468,2889187,9100,0.71,2177.77527,5000,13.1,0.0968554682,0.11277819025,0,0.11842969879657,0.24235273880052
0.031,11.6621,127368088,35200,-0.08,6346.958745,9314,8.9,0.179166666666667,0.0895,0,0.124026181697845,0.213921681878982
0.195,89.1072,6508887,6000,-0.97,2490.441146,9884,6.4,0.1268,0.1201089108,4,0.0776361385,0.2423638615
0.095706806,49.2604,17522010,13200,1.24,2404.404518,11025,10.9,0.07077562925,0.0664113688571429,5,0.05306823,0.1220837028
0.01,127.0814,43013341,1800,2.44,313.6236267,12573,12.9,0.156701353666667,0.112435786428571,5,0.0169953264,0.0229953264
0.506,60.8395,101998,5800,1.23,607.855056,7000,15.78,0.419,0.4058,0,0.119310083006322,0.188616928882362
0.13,29.1651,24589122,1800,0.54,143.4780795,9076,14.3,0.103,0.109666666666667,3,0.103,0.100333333333333
0.032,10.3566,48860500,32100,0.2,10732.59586,9314,8.5,0.1534,0.103666666666667,1,0.098,0.13
0,42.4337,1836529,6500,1,1796.867896,9231,33.1,0.1395,0.1566903555,2,0.1826903555,0.1826903555
0.288,54.496,2646314,42200,1.88,8298.334967,9943,10.2,0.170875,0.2182,2,0.110772277,0.245227723
0.095685279,65.247,5496737,2400,0.89,718.0623705,11350,16.1,0.070340509,0.0644636186666667,4,0.02663216075,0.08385943325
0.012,78.5808,6586266,2700,1.66,354.6774455,10915,17.9,0.03,0.03,5,0.0390204082,0.0453795918
0.156,13.2601,2191580,15900,-0.6,6766.807509,9350,12.7,0.0352857142857143,0.0373333333333333,4,0.05664037425,0.20664037425
0.135,26.2592,4140289,15700,-0.38,4804.012474,10201,10.2,0.083,0.0831089108,2,0.1045,0.2395
0.19989418,77.0185,1930493,2000,0.33,1186.225487,14948,4.4,0.16944709,0.0873686066666667,1,0.027313942,0.227208122
