country1,country2,obes_diff
Kenya,China,0.019
Kenya,India,0.01
Kenya,Japan,0.021
Kenya,Saudi Arabia,0.346
Kenya,South Africa,0.217208122
Kenya,United Arab Emirates,0.327
North Korea,China,0.101
North Korea,South Korea,0.098
North Korea,Russia,0.11
South Korea,Australia,0.132
South Korea,China,0.003
South Korea,Japan,0.001
South Korea,Saudi Arabia,0.324
South Korea,United States,0.307
Kuwait,China,0.259
Kuwait,Germany,0.159
Kuwait,India,0.268
Kuwait,Japan,0.257
Kuwait,South Korea,0.256
Kuwait,Saudi Arabia,0.068
Kuwait,United Arab Emirates,0.049
Kuwait,United States,0.051
Kyrgyzstan,China,0.066685279
Kyrgyzstan,Kazakhstan,2.15E-05
Kyrgyzstan,Russia,0.144314721
Laos,China,0.017
Laos,Thailand,0.066
Laos,Vietnam,0.007
Latvia,Estonia,0.012
Latvia,Finland,0.001
Latvia,Germany,0.027
Latvia,Italy,0.058
Latvia,Lithuania,0.041
Latvia,Poland,0.024
Latvia,Russia,0.084
Lebanon,China,0.106
Lebanon,Egypt,0.168
Lebanon,France,0.034
Lebanon,Germany,0.006
Lebanon,Italy,0.037
Lebanon,Turkey,0.026
Lebanon,United States,0.204
Lesotho,China,0.17089418
Lesotho,South Korea,0.16789418
Lesotho,Taiwan,0.19989418
Lesotho,United States,0.13910582
Liberia,China,0.061201005
Liberia,Japan,0.059201005
Liberia,South Korea,0.058201005
Libya,China,0.221
Libya,Egypt,0.053
Libya,France,0.081
Libya,Germany,0.121
Libya,Italy,0.152
Libya,Syria,0
Libya,Tunisia,0.045621891
Libya,Turkey,0.089
Lithuania,Germany,0.068
Lithuania,Latvia,0.041
Lithuania,Netherlands,0.071949495
Lithuania,Poland,0.017
Lithuania,Russia,0.043
Luxembourg,Belgium,0.05220202
Luxembourg,China,0.13120202
Luxembourg,France,0.00879798
Luxembourg,Germany,0.03120202
Luxembourg,Netherlands,0.035151515
Luxembourg,United States,0.17879798
Macedonia,Bulgaria,0.026
Macedonia,Germany,0.021
Macedonia,Greece,0.075
Macedonia,Italy,0.052
Macedonia,Turkey,0.011
Macedonia,United Kingdom,0.077
Madagascar,Bahrain,0.261340426
Madagascar,China,0.008
Madagascar,France,0.148
Madagascar,India,0.001
Madagascar,Kuwait,0.267
Madagascar,Mauritius,0.129707071
Madagascar,Singapore,0.048
Madagascar,South Africa,0.206208122
Malawi,China,0.013974874
Malawi,India,0.004974874
Malawi,South Africa,0.212182996
Malawi,Tanzania,0.024974874
Malawi,United States,0.323974874
Malawi,Zambia,0.005025126
Malaysia,China,0.134
Malaysia,Indonesia,0.139
Malaysia,Japan,0.132
Malaysia,South Korea,0.131
Malaysia,Singapore,0.094
Malaysia,Thailand,0.085
Malaysia,United States,0.176
Maldives,China,0.135158416
Maldives,India,0.144158416
Maldives,Malaysia,0.001158416
Maldives,Singapore,0.095158416
Maldives,Sri Lanka,0.164158416
Maldives,Thailand,0.086158416
Maldives,United Arab Emirates,0.172841584
Mali,China,0.016353535
Mali,Cote d'Ivoire,0.01594177
Mali,France,0.123646465
Mali,Senegal,0.025151516
Malta,France,0.038
Malta,Germany,0.078
Malta,Italy,0.109
Malta,United Kingdom,0.02
Mauritania,Belgium,0.050374384
Mauritania,Brazil,0.047374384
Mauritania,China,0.129374384
Mauritania,France,0.010625616
Mauritania,Germany,0.029374384
Mauritania,Malaysia,0.004625616
Mauritania,Netherlands,0.033323879
Mauritania,Spain,0.002374384
Mauritania,United States,0.180625616
Mauritius,China,0.121707071
Mauritius,France,0.018292929
Mauritius,India,0.130707071
Mauritius,South Africa,0.076501051
Mexico,China,0.207
Mexico,Japan,0.205
Mexico,United States,0.103
Moldova,China,0.121
Moldova,Germany,0.021
Moldova,Italy,0.052
Moldova,Romania,0.064
Moldova,Russia,0.09
Moldova,Turkey,0.011
Moldova,Ukraine,0.015483871
Mongolia,China,0.069
Mongolia,Japan,0.067
Mongolia,South Korea,0.066
Mongolia,Russia,0.142
Mongolia,United States,0.241
Morocco,China,0.131
Morocco,France,0.009
Morocco,Germany,0.031
Morocco,Italy,0.062
Morocco,Russia,0.08
Morocco,Saudi Arabia,0.196
Morocco,Spain,0.004
Morocco,United States,0.179
Mozambique,Australia,0.148615385
Mozambique,China,0.013615385
Mozambique,India,0.004615385
Mozambique,Portugal,0.126615385
Mozambique,South Africa,0.211823507
Mozambique,United States,0.323615385
Nepal,China,0.029
Nepal,India,0.02
Netherlands,Belgium,0.017050505
Netherlands,China,0.096050505
Netherlands,France,0.043949495
Netherlands,Germany,0.003949495
Netherlands,Russia,0.114949495
Netherlands,United Kingdom,0.101949495
Netherlands,United States,0.213949495
New Zealand,Australia,0.101
New Zealand,China,0.236
New Zealand,Germany,0.136
New Zealand,Japan,0.234
New Zealand,Singapore,0.196
New Zealand,United States,0.074
Nicaragua,China,0.257262626
Nicaragua,Costa Rica,0.047149326
Nicaragua,El Salvador,0.138061568
Nicaragua,Guatemala,0.000916861
Nicaragua,Mexico,0.050262626
Nicaragua,United States,0.052737374
Nicaragua,Venezuela,0.043737374
Niger,Belgium,0.088
Niger,China,0.009
Niger,France,0.149
Niger,India,0
Niger,Niger,0
Niger,Nigeria,0.035
Niger,Togo,0.02030303
Nigeria,China,0.026
Nigeria,India,0.035
Nigeria,South Korea,0.023
Nigeria,Netherlands,0.070050505
Nigeria,United States,0.284
Norway,China,0.071
Norway,Denmark,0.014
Norway,Germany,0.029
Norway,Netherlands,0.025050505
Norway,Sweden,0.02
Norway,United Kingdom,0.127
Norway,United States,0.239
Oman,China,0.09030131
Oman,Germany,0.00969869
Oman,India,0.09930131
Oman,Japan,0.08830131
Oman,Saudi Arabia,0.23669869
Oman,United Arab Emirates,0.21769869
Oman,United States,0.21969869
Pakistan,China,0.005563107
Pakistan,Kuwait,0.253436893
Pakistan,Malaysia,0.128436893
Pakistan,Saudi Arabia,0.321436893
Pakistan,Singapore,0.034436893
Pakistan,United Arab Emirates,0.302436893
Pakistan,United States,0.304436893
Panama,China,0.130405941
Panama,Japan,0.128405941
Panama,South Korea,0.127405941
Panama,Singapore,0.090405941
Panama,United States,0.179594059
Papua New Guinea,Australia,0.119221675
Papua New Guinea,China,0.015778325
Papua New Guinea,Indonesia,0.020778325
Papua New Guinea,Japan,0.013778325
Papua New Guinea,Malaysia,0.118221675
Papua New Guinea,Singapore,0.024221675
Papua New Guinea,United States,0.294221675
Paraguay,Argentina,0.2356961
Paraguay,Brazil,0.028405941
Paraguay,Chile,0.079594059
Paraguay,China,0.110405941
Paraguay,United States,0.199594059
Peru,Brazil,0.052
Peru,Chile,0.056
Peru,China,0.134
Peru,Ecuador,0.028
Peru,South Korea,0.131
Peru,United States,0.176
Philippines,China,0.014
Philippines,Japan,0.012
Philippines,South Korea,0.011
Philippines,Malaysia,0.12
